,False,True
2020-11-28,0,0
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,7,0
2020-12-10,7,0
2020-12-11,7,0
2020-12-12,7,0
2020-12-13,7,0
2020-12-14,7,0
2020-12-15,7,0
2020-12-16,7,0
2020-12-17,7,0
2020-12-18,14,0
2020-12-19,14,0
2020-12-20,14,0
2020-12-21,14,0
2020-12-22,14,0
2020-12-23,14,0
2020-12-24,21,0
2020-12-25,21,0
2020-12-26,21,0
2020-12-27,21,0
2020-12-28,21,0
2020-12-29,21,0
2020-12-30,21,0
2020-12-31,21,0
2021-01-01,56,7
2021-01-02,56,14
2021-01-03,56,14
2021-01-04,63,14
2021-01-05,70,14
2021-01-06,77,21
2021-01-07,84,21
2021-01-08,84,21
2021-01-09,84,21
2021-01-10,84,21
2021-01-11,84,21
2021-01-12,98,21
2021-01-13,105,28
2021-01-14,112,28
2021-01-15,119,28
2021-01-16,126,28
2021-01-17,126,28
2021-01-18,133,28
2021-01-19,140,35
2021-01-20,154,35
2021-01-21,168,42
2021-01-22,182,56
2021-01-23,189,56
2021-01-24,189,56
2021-01-25,203,63
2021-01-26,238,63
2021-01-27,259,63
2021-01-28,294,70
2021-01-29,315,77
2021-01-30,315,77
2021-01-31,315,77
2021-02-01,357,84
2021-02-02,392,91
2021-02-03,441,98
2021-02-04,518,105
2021-02-05,595,119
2021-02-06,616,119
2021-02-07,623,119
2021-02-08,721,126
2021-02-09,861,140
2021-02-10,994,161
2021-02-11,1169,182
2021-02-12,1526,238
2021-02-13,1666,252
2021-02-14,1708,259
2021-02-15,2394,385
2021-02-16,3276,518
2021-02-17,4130,658
2021-02-18,4984,805
2021-02-19,5656,910
2021-02-20,5747,931
2021-02-21,5789,938
2021-02-22,6580,1085
2021-02-23,7574,1295
2021-02-24,8421,1428
2021-02-25,9170,1582
2021-02-26,9702,1701
2021-02-27,9779,1715
2021-02-28,9807,1715
2021-03-01,10661,1876
2021-03-02,11599,2044
2021-03-03,12565,2226
2021-03-04,13454,2380
2021-03-05,14315,2555
2021-03-06,14441,2583
2021-03-07,14483,2590
2021-03-08,15316,2744
2021-03-09,16485,2982
2021-03-10,17710,3199
2021-03-11,18725,3402
2021-03-12,19481,3549
2021-03-13,19614,3570
2021-03-14,19635,3577
2021-03-15,20510,3752
2021-03-16,21413,3920
2021-03-17,22260,4067
2021-03-18,23065,4200
2021-03-19,23744,4319
2021-03-20,23828,4333
2021-03-21,23870,4347
2021-03-22,24682,4473
2021-03-23,25711,4662
2021-03-24,26362,4788
2021-03-25,26894,4900
2021-03-26,27426,4970
2021-03-27,27517,4984
2021-03-28,27538,4984
2021-03-29,27972,5075
2021-03-30,28385,5138
2021-03-31,28679,5187
2021-04-01,28980,5222
2021-04-02,29001,5229
2021-04-03,29036,5229
2021-04-04,29043,5229
2021-04-05,29050,5229
2021-04-06,29379,5285
2021-04-07,29911,5404
2021-04-08,30254,5460
2021-04-09,30576,5502
2021-04-10,30597,5502
2021-04-11,30625,5509
2021-04-12,30835,5544
2021-04-13,31052,5593
2021-04-14,31234,5635
2021-04-15,31465,5684
2021-04-16,31654,5719
2021-04-17,31696,5719
2021-04-18,31731,5726
2021-04-19,31878,5754
2021-04-20,32039,5775
2021-04-21,32228,5796
2021-04-22,32396,5831
2021-04-23,32550,5859
2021-04-24,32571,5866
2021-04-25,32585,5873
2021-04-26,32760,5901
2021-04-27,32886,5943
2021-04-28,33145,5992
2021-04-29,33278,6020
2021-04-30,33404,6034
2021-05-01,33418,6041
2021-05-02,33418,6041
2021-05-03,33453,6048
2021-05-04,33558,6069
2021-05-05,33740,6083
2021-05-06,33859,6104
2021-05-07,34034,6132
2021-05-08,34048,6132
2021-05-09,34048,6132
2021-05-10,34293,6188
2021-05-11,34503,6223
2021-05-12,34769,6265
2021-05-13,35077,6307
2021-05-14,35196,6335
2021-05-15,35210,6335
2021-05-16,35217,6335
2021-05-17,35343,6356
2021-05-18,35476,6384
2021-05-19,35616,6405
total,1659777,127036
