,1,2,3,4,5,6
2020-11-28,0,0,0,0,0,0
2020-11-29,0,0,0,0,0,0
2020-11-30,0,0,0,0,0,0
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0
2020-12-08,0,0,0,0,0,0
2020-12-09,7,0,0,0,0,0
2020-12-10,7,0,0,0,0,0
2020-12-11,7,0,0,0,0,0
2020-12-12,7,0,0,0,0,0
2020-12-13,7,0,0,0,0,0
2020-12-14,7,0,0,0,0,0
2020-12-15,7,0,0,0,0,0
2020-12-16,7,0,0,0,0,0
2020-12-17,14,0,0,0,0,0
2020-12-18,14,0,0,0,0,0
2020-12-19,14,0,0,0,0,0
2020-12-20,14,0,0,0,0,0
2020-12-21,14,0,0,0,0,7
2020-12-22,14,0,0,0,0,7
2020-12-23,14,0,0,0,0,7
2020-12-24,14,0,0,0,0,7
2020-12-25,14,0,0,0,0,7
2020-12-26,14,0,0,0,0,7
2020-12-27,14,0,0,0,0,7
2020-12-28,14,0,0,0,0,7
2020-12-29,14,0,0,0,0,7
2020-12-30,14,0,0,0,0,14
2020-12-31,14,0,0,0,0,14
2021-01-01,14,0,0,0,0,14
2021-01-02,14,0,0,0,0,14
2021-01-03,14,0,0,0,0,14
2021-01-04,14,0,0,0,0,14
2021-01-05,14,0,0,0,0,14
2021-01-06,21,0,0,0,0,14
2021-01-07,21,0,0,0,0,14
2021-01-08,28,0,0,0,0,14
2021-01-09,28,0,0,0,0,14
2021-01-10,28,0,0,0,0,14
2021-01-11,35,0,0,0,0,21
2021-01-12,35,0,0,0,0,21
2021-01-13,35,0,0,0,0,21
2021-01-14,42,0,0,7,0,28
2021-01-15,42,0,0,7,0,28
2021-01-16,49,0,0,7,0,28
2021-01-17,49,0,0,7,0,28
2021-01-18,56,0,0,7,0,28
2021-01-19,56,0,0,7,0,28
2021-01-20,56,0,0,14,0,35
2021-01-21,63,0,0,14,0,35
2021-01-22,70,0,0,14,0,35
2021-01-23,70,0,7,14,0,42
2021-01-24,77,0,7,14,0,42
2021-01-25,77,0,7,14,0,42
2021-01-26,91,0,7,21,0,42
2021-01-27,98,0,7,21,0,49
2021-01-28,105,0,7,21,7,49
2021-01-29,126,0,7,21,7,49
2021-01-30,133,7,7,21,7,56
2021-01-31,133,7,7,21,7,56
2021-02-01,140,7,7,35,7,56
2021-02-02,154,7,14,42,7,70
2021-02-03,161,7,14,42,7,77
2021-02-04,175,7,14,49,7,84
2021-02-05,189,7,14,63,7,98
2021-02-06,196,7,21,63,7,98
2021-02-07,196,7,21,63,7,105
2021-02-08,217,7,21,63,7,119
2021-02-09,252,7,28,70,7,140
2021-02-10,287,7,35,77,14,161
